iter	Passed	Remaining
307	916	2058
308	920	2057
309	924	2056
310	927	2054
311	930	2051
312	933	2047
313	935	2044
314	939	2042
315	942	2040
316	947	2041
317	950	2038
318	952	2034
319	955	2031
320	958	2027
321	961	2025
322	964	2021
323	967	2018
324	970	2015
325	972	2011
326	976	2008
327	978	2005
328	981	2001
329	984	1998
330	987	1995
331	990	1992
332	992	1988
333	996	1986
334	998	1982
335	1001	1979
336	1004	1975
337	1007	1972
338	1010	1969
339	1013	1966
340	1016	1963
341	1019	1960
342	1021	1957
343	1024	1954
344	1027	1951
345	1030	1947
346	1033	1944
347	1036	1941
348	1039	1938
349	1042	1935
350	1045	1932
351	1048	1929
352	1050	1925
353	1053	1922
354	1056	1919
355	1059	1916
356	1062	1912
357	1065	1910
358	1068	1907
359	1070	1903
360	1073	1900
361	1076	1897
362	1079	1894
363	1082	1891
364	1085	1888
365	1088	1885
366	1091	1881
367	1094	1879
368	1097	1875
369	1099	1872
370	1102	1869
371	1105	1866
372	1108	1863
373	1111	1860
374	1114	1857
375	1117	1854
376	1120	1851
377	1123	1848
378	1126	1845
379	1128	1842
380	1131	1838
381	1134	1835
382	1137	1832
383	1140	1829
384	1143	1826
385	1146	1823
386	1148	1819
387	1152	1817
388	1154	1814
389	1157	1810
390	1160	1807
391	1163	1805
392	1166	1801
393	1169	1798
394	1172	1795
395	1175	1792
396	1178	1789
397	1180	1785
398	1183	1783
399	1187	1780
400	1190	1778
401	1195	1778
402	1199	1776
403	1202	1774
404	1205	1771
405	1208	1768
406	1212	1766
407	1215	1763
408	1217	1759
409	1220	1756
410	1223	1753
411	1226	1750
412	1229	1747
413	1232	1744
414	1234	1740
415	1237	1737
416	1240	1734
417	1243	1731
418	1246	1728
419	1248	1724
420	1252	1721
421	1254	1718
422	1257	1715
423	1260	1712
424	1263	1709
425	1266	1706
426	1268	1702
427	1271	1699
428	1274	1696
429	1277	1693
430	1280	1690
431	1283	1686
432	1285	1683
433	1288	1680
434	1292	1678
435	1294	1674
436	1297	1671
437	1300	1669
438	1303	1665
439	1306	1662
440	1309	1659
441	1312	1656
442	1315	1653
443	1317	1650
444	1320	1647
445	1323	1644
446	1326	1641
447	1329	1638
448	1332	1635
449	1335	1632
450	1338	1628
451	1341	1626
452	1344	1622
453	1346	1619
454	1349	1616
455	1352	1613
456	1355	1610
457	1358	1607
458	1361	1604
459	1364	1601
460	1367	1598
461	1370	1595
462	1373	1593
463	1376	1589
464	1379	1586
465	1382	1583
466	1385	1580
467	1387	1577
468	1390	1574
469	1393	1571
470	1396	1568
471	1399	1565
472	1402	1562
473	1405	1559
474	1408	1556
475	1410	1553
476	1413	1550
477	1416	1547
478	1419	1544
479	1422	1541
480	1425	1538
481	1428	1535
482	1431	1532
483	1434	1528
484	1436	1525
485	1440	1523
486	1442	1519
487	1445	1516
488	1448	1513
489	1451	1510
490	1454	1507
491	1457	1504
492	1460	1501
493	1463	1499
494	1466	1496
495	1469	1493
496	1472	1490
497	1475	1487
498	1478	1484
499	1481	1481
500	1483	1477
501	1486	1474
502	1489	1471
503	1492	1469
504	1495	1465
505	1498	1463
506	1501	1460
507	1504	1457
508	1507	1454
509	1510	1451
510	1513	1448
511	1516	1445
512	1519	1442
513	1522	1439
514	1525	1436
515	1527	1433
516	1530	1430
517	1533	1427
518	1536	1424
519	1539	1420
520	1542	1417
521	1544	1414
522	1547	1411
523	1550	1408
524	1553	1405
525	1557	1403
526	1559	1400
527	1562	1396
528	1565	1393
529	1568	1390
530	1571	1387
531	1574	1384
532	1577	1381
533	1580	1378
534	1582	1375
535	1585	1372
536	1588	1369
537	1591	1366
538	1594	1363
539	1597	1360
540	1600	1357
541	1602	1354
542	1605	1351
543	1608	1348
544	1611	1345
545	1614	1342
546	1617	1339
547	1620	1336
548	1622	1333
549	1626	1330
550	1629	1327
551	1631	1324
552	1634	1321
553	1638	1318
554	1640	1315
555	1643	1312
556	1646	1309
557	1649	1306
558	1652	1303
559	1655	1300
560	1657	1297
561	1660	1294
562	1663	1291
563	1666	1288
564	1669	1285
565	1671	1281
566	1674	1279
567	1677	1276
568	1680	1273
569	1683	1269
570	1686	1267
571	1689	1264
572	1692	1261
573	1695	1258
574	1698	1255
575	1700	1252
576	1703	1249
577	1707	1246
578	1710	1243
579	1712	1240
580	1715	1237
581	1718	1234
582	1721	1231
583	1724	1228
584	1727	1225
585	1730	1222
586	1733	1219
587	1736	1216
588	1739	1213
589	1741	1210
590	1745	1207
591	1748	1204
592	1750	1201
593	1753	1198
594	1756	1195
595	1759	1192
596	1762	1189
597	1765	1186
598	1768	1183
599	1771	1180
600	1774	1177
601	1776	1174
602	1779	1171
603	1782	1168
604	1785	1165
605	1788	1162
606	1791	1159
607	1794	1157
608	1797	1153
609	1800	1150
610	1803	1147
611	1806	1145
612	1808	1141
613	1811	1139
614	1814	1136
615	1817	1133
616	1820	1129
617	1823	1127
618	1826	1124
619	1829	1121
620	1832	1118
621	1835	1115
622	1838	1112
623	1842	1110
624	1845	1107
625	1847	1103
626	1850	1101
627	1854	1098
628	1857	1095
629	1861	1093
630	1865	1090
631	1869	1088
632	1873	1085
633	1876	1083
634	1880	1081
635	1884	1078
636	1887	1075
637	1889	1072
638	1893	1069
639	1896	1066
640	1899	1063
641	1902	1060
642	1905	1058
643	1908	1055
644	1913	1053
645	1916	1050
646	1920	1047
647	1923	1044
648	1926	1041
649	1928	1038
650	1932	1035
651	1935	1033
652	1938	1030
653	1941	1027
654	1944	1024
655	1947	1021
656	1950	1018
657	1953	1015
658	1956	1012
659	1959	1009
660	1961	1006
661	1964	1003
662	1967	1000
663	1970	997
664	1973	994
665	1975	990
666	1979	988
667	1982	985
668	1984	981
669	1987	978
670	1990	975
671	1993	972
672	1995	969
673	1998	966
674	2001	963
675	2004	960
676	2007	957
677	2010	954
678	2012	951
679	2015	948
680	2019	945
681	2021	942
682	2024	939
683	2027	936
684	2030	933
685	2033	930
686	2035	927
687	2039	924
688	2042	921
689	2044	918
690	2047	915
691	2050	912
692	2053	909
693	2055	906
694	2058	903
695	2061	900
696	2064	897
697	2067	894
698	2070	891
699	2073	888
700	2076	885
701	2079	882
702	2081	879
703	2084	876
704	2087	873
705	2090	870
706	2093	867
707	2096	864
708	2099	861
709	2102	858
710	2104	855
711	2107	852
712	2110	849
713	2113	846
714	2116	843
715	2119	840
716	2122	837
717	2124	834
718	2127	831
719	2130	828
720	2133	825
721	2136	822
722	2138	819
723	2141	816
724	2144	813
725	2147	810
726	2150	807
727	2153	804
728	2156	801
729	2159	798
730	2162	795
731	2165	792
732	2168	790
733	2171	786
734	2174	783
735	2177	781
736	2180	778
737	2182	774
738	2186	772
739	2188	769
740	2191	766
741	2194	763
742	2197	760
743	2200	757
744	2203	754
745	2206	751
746	2209	748
747	2212	745
748	2215	742
749	2218	739
750	2221	736
751	2223	733
752	2226	730
753	2229	727
754	2232	724
755	2235	721
756	2238	718
757	2240	715
758	2243	712
759	2246	709
760	2249	706
761	2252	703
762	2255	700
763	2258	697
764	2261	694
765	2264	691
766	2267	688
767	2269	685
768	2272	682
769	2275	679
770	2278	676
771	2281	673
772	2284	670
773	2287	667
774	2290	664
775	2293	661
776	2296	658
777	2298	655
778	2301	652
779	2305	650
780	2307	647
781	2310	644
782	2313	641
783	2316	638
784	2318	635
785	2321	632
786	2324	629
787	2327	626
788	2330	623
789	2333	620
790	2336	617
791	2339	614
792	2342	611
793	2345	608
794	2347	605
795	2350	602
796	2354	599
797	2356	596
798	2359	593
799	2362	590
800	2365	587
801	2368	584
802	2371	581
803	2374	578
804	2377	575
805	2379	572
806	2383	569
807	2385	566
808	2388	563
809	2391	560
810	2394	558
811	2397	555
812	2399	552
813	2403	549
814	2406	546
815	2408	543
816	2411	540
817	2414	537
818	2417	534
819	2420	531
820	2423	528
821	2426	525
822	2429	522
823	2432	519
824	2435	516
825	2438	513
826	2441	510
827	2444	507
828	2446	504
829	2449	501
830	2452	498
831	2455	495
832	2458	492
833	2461	489
834	2464	486
835	2467	484
836	2470	481
837	2472	478
838	2475	475
839	2478	472
840	2481	469
841	2484	466
842	2487	463
843	2490	460
844	2493	457
845	2496	454
846	2499	451
847	2501	448
848	2504	445
849	2507	442
850	2510	439
851	2513	436
852	2516	433
853	2519	430
854	2522	427
855	2524	424
856	2527	421
857	2530	418
858	2533	415
859	2536	412
860	2539	410
861	2542	407
862	2545	404
863	2548	401
864	2550	398
865	2553	395
866	2556	392
867	2559	389
868	2562	386
869	2565	383
870	2568	380
871	2571	377
872	2573	374
873	2576	371
874	2579	368
875	2582	365
876	2585	362
877	2588	359
878	2591	356
879	2594	353
880	2597	350
881	2600	347
882	2602	344
883	2605	341
884	2608	338
885	2611	336
886	2614	333
887	2617	330
888	2620	327
889	2623	324
890	2625	321
891	2629	318
892	2631	315
893	2634	312
894	2637	309
895	2640	306
896	2643	303
897	2646	300
898	2649	297
899	2651	294
900	2654	291
901	2657	288
902	2660	285
903	2663	282
904	2665	279
905	2669	276
906	2672	273
907	2675	271
908	2678	268
909	2681	265
910	2684	262
911	2687	259
912	2690	256
913	2692	253
914	2695	250
915	2698	247
916	2701	244
917	2704	241
918	2707	238
919	2709	235
920	2712	232
921	2715	229
922	2718	226
923	2721	223
924	2724	220
925	2727	217
926	2730	214
927	2733	212
928	2736	209
929	2738	206
930	2741	203
931	2744	200
932	2747	197
933	2750	194
934	2753	191
935	2756	188
936	2759	185
937	2761	182
938	2764	179
939	2767	176
940	2770	173
941	2773	170
942	2776	167
943	2779	164
944	2782	161
945	2785	159
946	2788	156
947	2791	153
948	2794	150
949	2798	147
950	2801	144
951	2804	141
952	2806	138
953	2810	135
954	2812	132
955	2816	129
956	2818	126
957	2821	123
958	2824	120
959	2828	117
960	2832	114
961	2836	112
962	2839	109
963	2843	106
964	2847	103
965	2851	100
966	2855	97
967	2858	94
968	2861	91
969	2864	88
970	2867	85
971	2870	82
972	2873	79
973	2876	76
974	2880	73
975	2884	70
976	2887	67
977	2890	65
978	2893	62
979	2895	59
980	2898	56
981	2901	53
982	2904	50
983	2907	47
984	2909	44
985	2912	41
986	2915	38
987	2918	35
988	2921	32
989	2924	29
990	2927	26
991	2930	23
992	2933	20
993	2935	17
994	2938	14
995	2941	11
996	2944	8
997	2947	5
998	2950	2
999	2953	0
